Gene,Cytoband,CNA_alteration,q-value,CNA,Mutation,Structural Variant,Cancer Gene
CDKN1B,12p13.1,AMP/HOMDEL,,2,0.3,0.6,yes
MYC,8q24.21,AMP,1.99E-09,4.7,0.5,2,yes
RPS6KB1,17q23.1,AMP/HOMDEL,,1,0.5,0.3,no
RAD50,5q31.1,HOMDEL,,0.3,0.7,0.3,yes
GAPDH,12p13.31,AMP/HOMDEL,,0.7,0.7,0.3,no
RAF1,3p25.2,HOMDEL/AMP,,0.7,1,0.3,yes
YAP1,11q22.1,AMP,1.43E-43,10.8,1,0.7,yes
BAD,11q13.1,AMP,,0.3,1,0.3,no
MAPK8,10q11.22,HOMDEL,,0.7,1,0.3,no
RAD51,15q15.1,HOMDEL,0.000497,0.7,1.3,0.3,yes
BIRC2,11q22.2,AMP,1.43E-43,10.8,1.4,0.3,no
AKT2,19q13.2,AMP,,3.9,1.7,0.3,yes
MAP2K1,15q22.31,AMP/HOMDEL,,0.7,1.7,0.3,yes
RBM15,1p13.3,HOMDEL,,0.7,1.7,0.3,yes
ITGA2,5q11.2,HOMDEL/AMP,,1.7,1.7,0.7,no
MSH2,2p21-p16.3,AMP,0.0999,0.7,2.1,0.3,yes
STAT3,17q21.2,AMP/HOMDEL,,1,2.6,0.6,yes
STAT5A,17q21.2,AMP/HOMDEL,,0.3,2.8,0.3,yes
MYH11,16p13.11,AMP,,1.4,3.1,0.3,yes
RB1,13q14.2,HOMDEL,2.17E-19,4.1,4.6,1,yes
PIK3R1,5q13.1,HOMDEL,,1,6,0.6,yes
STK11,19p13.3,HOMDEL/AMP,9.93E-23,5.1,6.2,0.6,yes
NOTCH1,9q34.3,HOMDEL/AMP,,0.7,6.9,0.6,yes
CHEK2,22q12.1,HOMDEL,,0.6,7.4,8.3,yes
PTEN,10q23.31,HOMDEL/AMP,1.50E-10,5.1,7.7,1.9,yes
ERBB2,17q12,AMP,3.09E-13,5.1,10.7,1.4,yes